,lu,stowa,hhnk,lizard
2,woonfunctie,271.0,1690.0,1587.16
3,celfunctie,54.0,356.4,2219.16
4,industriefunctie,271.0,1716.0,1573.16
5,kantoorfunctie,271.0,1716.0,2667.16
6,winkelfunctie,271.0,1716.0,2188.41
7,kas,47.38,47.38,1161.03
8,logiesfunctie,271.0,1716.0,2504.16
9,bijeenkomstfunctie,271.0,1716.0,2709.16
10,sportfunctie,54.0,356.4,2273.16
11,onderwijsfunctie,271.0,1716.0,2478.16
12,gezondheidszorgfunctie,271.0,1716.0,2606.16
15,woongebied,0.08,0.08,0.1
16,bedrijventerrein,0.08,0.08,0.1
17,dagrecreatief terrein,0.11,0.11,0.1
18,verblijfsrecreatief terrein,0.11,0.11,0.1
19,sportterrein,0.08,0.08,0.1
20,begraafplaats,0.11,0.11,0.1
21,volkstuinen,0.11,0.11,0.1
22,glastuinbouw,0.08,0.08,0.1
25,snelweg,0.46,40.0,0.22
26,regionale_weg,0.23,4.0,0.22
27,verkeerseiland,0.23,4.0,0.1
28,lokale_weg,0.08,0.08,0.1
29,overige wegdelen,0.08,0.08,0.1
31,spoor,0.46,32.0,0.22
55,aardbeien_op_stelling,0.37,3.83,1.79
56,aardbeien_open_grond,0.37,1.9,1.79
57,aardperen,0.37,0.37,1.79
58,agrarisch_gras_en_veevoeders,0.11,0.12,0.06
59,akkerbouw,0.37,0.37,0.33
60,andijvie,0.37,0.37,1.79
61,appelen,2.25,2.25,1.87
62,asperges,0.37,0.37,1.79
63,augurk,0.37,0.37,1.79
64,blasrammenas,0.37,0.37,1.79
65,blauwebessen,2.25,2.25,1.87
66,bloembollen,2.84,2.84,2.24
67,bloembollen_en_sierteelt,2.84,2.84,2.24
68,bloemkool,0.37,1.31,1.79
69,boerenkool,0.37,0.37,1.79
70,boom_en_heesterkweek,7.62,7.62,4.83
71,bos_en_haagplanten,7.62,7.62,4.83
72,bospeen,0.37,1.16,1.79
74,broccoli,0.37,1.44,1.79
75,bruinebonen,0.37,0.23,0.48
76,buxus,7.62,7.62,4.83
77,chinesekool,0.37,0.37,1.79
78,cichorei,0.37,0.35,1.79
79,consumptieaardappelen,0.26,0.86,0.72
80,courgette,0.37,0.37,1.79
81,cranberry,2.25,2.25,1.87
82,engels_raaigras,0.11,0.27,0.11
83,erwten,0.37,0.24,1.79
84,frambozen,2.25,2.25,1.87
85,fruitteelt,2.25,2.25,1.87
86,gerst,0.17,0.16,0.13
87,granen,0.17,0.22,0.18
88,grasland_natuurlijk,0.11,0.11,0.06
89,graszoden,0.11,0.11,0.1
90,groente_in_open_grond,0.37,0.37,1.79
91,haver,0.17,0.12,0.18
92,hennep,0.37,0.1,0.33
93,ijsbergsla,0.37,1.12,1.79
94,kapucijners,0.37,0.37,1.79
95,kersen,2.25,2.25,1.87
96,kersen_zuur,2.25,2.25,1.87
97,kerstbomen,7.62,7.62,4.83
98,klaver,0.37,0.37,0.33
99,knoflook,0.37,0.37,1.79
100,knolselderij,0.37,0.94,1.79
101,knolvenkel,0.37,0.37,1.79
102,komkommer,0.37,0.37,1.79
103,koolraap,0.37,0.37,1.79
104,koolrabi,0.37,0.37,1.79
105,koolzaad,0.17,0.17,0.34
106,kruiden,0.37,0.37,1.79
107,laanbomen,7.62,7.62,4.83
108,luzerne,0.11,0.11,0.06
109,mais_corncob,0.11,0.19,0.06
110,mais_energie,0.37,0.37,0.33
111,mais_korrel,0.11,0.11,0.06
112,mais_snij,0.21,0.29,0.09
113,mais_suiker,0.37,0.37,0.33
114,miscanthus,2.84,2.84,2.24
116,notenbomen,2.25,2.25,1.87
117,paksoi,0.37,0.37,1.79
118,pastinaak,0.37,0.37,1.79
119,peren,2.25,2.25,1.87
120,peulen,0.37,0.37,1.79
121,pompoen,0.37,0.37,1.79
122,pootaardappelen,0.26,1.3,1.12
123,prei,0.37,2.41,1.79
124,pronkbonen,0.37,0.37,1.79
125,pruimen,2.25,2.25,1.87
126,rabarber,0.37,0.37,1.79
127,radijs,0.37,0.37,1.79
128,rietzwenkgras,0.11,0.25,0.06
129,rode_bieten,0.37,0.37,1.79
130,rodebessen,2.25,2.25,1.87
131,rodekool,0.37,2.72,1.79
132,rogge,0.17,0.07,0.18
133,rozen,2.84,2.84,4.83
134,schorseneren,0.37,0.59,1.79
135,selderij,0.37,0.37,1.79
136,sierconiferen,7.62,7.62,4.83
137,sierheesters_en_klimplanten,7.62,7.62,4.83
138,sla,0.37,0.37,1.79
139,sojabonen,0.37,0.37,1.79
140,sperziebonen,0.37,0.21,1.79
141,spinazie,0.37,0.63,1.79
142,spitskool,0.37,0.37,1.79
144,spruitjes,0.37,0.37,1.79
145,suikerbieten,0.45,0.48,0.37
146,tarwe,0.17,0.22,0.18
147,trek_en_besheesters,7.62,7.62,4.83
148,triticale,0.17,0.11,0.18
149,tuinbonen,0.37,0.37,1.79
150,uien,0.37,0.85,0.77
151,valeriaan,0.37,0.37,0.33
152,vaste_planten,2.84,2.84,2.24
153,vlas,0.37,0.32,0.33
154,voederbieten,0.45,0.45,0.06
155,waspeen,0.37,0.37,1.79
157,weidehooi,0.11,0.12,0.14
158,wijndruiven,2.25,2.25,1.87
159,winterpeen,0.37,1.02,0.11
160,witlof,0.37,0.76,1.79
161,wittekool,0.37,1.53,1.79
162,wortelpeterselie,0.37,0.37,1.79
163,zetmeelaardappelen,0.26,0.35,0.22
164,zwartebessen,2.25,2.25,1.87
165,Voetpad,0.08,0.08,0.1
166,Fietspad,0.08,0.08,0.1
